Personal,Gender,Height_cm,Weight_kg
P1,Male,174,96
P2,Male,189,87
P3,Female,185,110
P4,Female,195,104
P5,Male,149,61
P6,Male,189,104
P7,Male,147,92
P8,Male,154,111
P9,Male,174,90
P10,Female,169,103
P11,Male,195,81
P12,Female,159,80
P13,Female,192,101
P14,Male,155,51
P15,Male,191,79
P16,Female,153,107
P17,Female,157,110
P18,Male,140,129
P19,Male,144,145
P20,Male,172,139
P21,Male,157,110
P22,Female,153,149
P23,Female,169,97
P24,Male,185,139
P25,Female,172,67
P26,Female,151,64
P27,Male,190,95
P28,Male,187,62
P29,Female,163,159
P30,Male,179,152
P31,Male,153,121
P32,Male,178,52
P33,Female,195,65
P34,Female,160,131
P35,Female,157,153
P36,Female,189,132
P37,Female,197,114
P38,Male,144,80
P39,Female,171,152
P40,Female,185,81
P41,Female,175,120
P42,Female,149,108
P43,Male,157,56
P44,Male,161,118
P45,Female,182,126
P46,Male,185,76
P47,Female,188,122
P48,Male,181,111
P49,Male,161,72
P50,Male,140,152
P51,Female,168,135
P52,Female,176,54
P53,Male,163,110
P54,Male,172,105
P55,Male,196,116
P56,Female,187,89
P57,Male,172,92
P58,Male,178,127
P59,Female,164,70
P60,Male,143,88
P61,Female,191,54
P62,Female,141,143
P63,Male,193,54
P64,Male,190,83
P65,Male,175,135
P66,Female,179,158
P67,Female,172,96
P68,Female,168,59
P69,Female,164,82
P70,Female,194,136
P71,Female,153,51
P72,Male,178,117
P73,Male,141,80
P74,Male,180,75
P75,Female,185,100
P76,Female,197,154
P77,Male,165,104
P78,Female,168,90
P79,Female,176,122
P80,Male,181,51
P81,Male,164,75
P82,Female,166,140
P83,Female,190,105
P84,Male,186,118
P85,Male,168,123
P86,Male,198,50
P87,Female,175,141
P88,Male,145,117
P89,Female,159,104
P90,Female,185,140
P91,Female,178,154
P92,Female,183,96
P93,Female,194,111
P94,Male,177,61
P95,Male,197,119
P96,Female,170,156
P97,Male,142,69
P98,Male,160,139
P99,Male,195,69
P100,Female,190,50
P101,Male,199,156
P102,Male,154,105
P103,Male,161,155
P104,Female,198,145
P105,Female,192,140
P106,Male,195,126
P107,Male,166,160
P108,Male,159,154
P109,Female,181,106
P110,Male,149,66
P111,Female,150,70
P112,Female,146,157
P113,Male,190,135
P114,Female,192,90
P115,Female,177,96
P116,Male,148,60
P117,Female,165,57
P118,Female,146,104
P119,Male,144,108
P120,Female,176,156
P121,Female,168,87
P122,Male,187,122
P123,Male,187,138
P124,Female,184,160
P125,Female,158,149
P126,Male,158,96
P127,Male,194,115
P128,Female,145,79
P129,Male,182,151
P130,Male,154,54
P131,Female,168,139
P132,Female,187,70
P133,Female,158,153
P134,Female,167,110
P135,Female,171,155
